code1,code2,route,destination
557600,557787,140,proper
557589,557589,140,proper
557500,557587,140,proper
557489,557489,140,proper
557400,557487,140,proper
557389,557389,140,proper
557200,557387,140,proper
557189,557189,140,proper
557000,557187,140,proper
556982,556988,140,proper
556900,556980,140,proper
556882,556888,140,proper
556800,556880,140,proper
556782,556788,140,proper
556700,556780,140,proper
556682,556688,140,proper
556600,556680,140,proper
556582,556588,140,proper
556500,556580,140,proper
556482,556488,140,proper
556400,556480,140,proper
556382,556388,140,proper
556300,556380,140,proper
556282,556288,140,proper
556200,556280,140,proper
5556,5560,140,proper
555582,555588,140,proper
555500,555580,140,proper
555482,555488,140,proper
555400,555480,140,proper
555382,555388,140,proper
555200,555380,140,proper
555182,555188,140,proper
555179,555180,140,proper
555100,555177,140,proper
5550,5550,140,proper
55490,55498,140,proper
55480,55488,140,proper
55470,55478,140,proper
55460,55468,140,proper
55450,55458,140,proper
55440,55448,140,proper
55430,55438,140,proper
55420,55428,140,proper
5539,5540,140,proper
553889,553889,140,proper
553800,553887,140,proper
553789,553789,140,proper
553600,553787,140,proper
553589,553589,140,proper
553500,553587,140,proper
553489,553489,140,proper
553400,553487,140,proper
553389,553389,140,proper
553300,553387,140,proper
553289,553289,140,proper
553200,553287,140,proper
553189,553189,140,proper
553179,553187,140,proper
553100,553177,140,proper
5529,5530,140,proper
552889,552889,140,proper
552800,552887,140,proper
5525,5526,140,proper
552482,552487,140,proper
552300,552480,140,proper
552282,552287,140,proper
552200,552280,140,proper
552182,552187,140,proper
552179,552180,140,proper
552100,552177,140,proper
5520,5520,140,proper
5500,5510,140,proper
559982,559987,140,proper
559900,559980,140,proper
559882,559887,140,proper
559800,559880,140,proper
559789,559789,140,proper
559700,559787,140,proper
553432,,140,proper
673228,,159,mobile
67380,67384,159,mobile
67386,67389,159,mobile
6739,,159,proper
673000,673227,159,proper
673229,673799,159,proper
35998,35999,161,mobile
35948,,161,mobile
359881,359889,161,mobile
35956,,161,proper
35952,,161,proper
35932,,161,proper
35982,,161,proper
359901,359979,161,proper
35900,35916,161,proper
35918,35919,161,proper
3592,,161,proper
35930,35931,161,proper
35933,35947,161,proper
35949,35951,161,proper
35953,35955,161,proper
35957,35979,161,proper
359801,359819,161,proper
35983,35987,161,proper
35989,,161,proper
22657,22669,171,mobile
22672,22673,171,mobile
22680,22688,171,mobile
2262,,171,mobile
22630,22656,171,proper
22670,22671,171,proper
22674,22679,171,proper
22689,22699,171,proper
2260,2261,171,proper
25729,,173,mobile
25700,25728,173,proper
2573,2579,173,proper
85511,85512,175,mobile
85514,85516,175,mobile
85518,,175,mobile
85591,85592,175,mobile
85500,85510,175,proper
85513,,175,proper
85517,,175,proper
85519,85579,175,proper
855801,855899,175,proper
855901,855909,175,proper
85593,,175,proper
85596,85599,175,proper
